"N08.0","Glomeruläre Krankheiten bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"R69","Unbekannte und nicht näher bezeichnete Krankheitsursachen"
"R84.8","Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Sonstige abnorme Befunde"
"Y59.9","Komplikationen durch Impfstoffe oder biologisch aktive Substanzen"
"M67.35","Transitorische Synovitis: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"S76.3","Verletzung von Muskeln und Sehnen der posterioren Muskelgruppe in Höhe des Oberschenkels"
"Z13.9","Spezielle Verfahren zur Untersuchung, nicht näher bezeichnet"
"D00.1","Carcinoma in situ: Ösophagus"
"B50.9","Malaria tropica, nicht näher bezeichnet"
"A98.5","Hämorrhagisches Fieber mit renalem Syndrom"
"K57.12","Divertikulitis des Dünndarmes ohne Perforation, Abszess oder Angabe einer Blutung"
"C05.2","Bösartige Neubildung: Uvula"
"T88.1","Sonstige Komplikationen nach Impfung [Immunisierung], anderenorts nicht klassifiziert"
"Z25.8","Notwendigkeit der Impfung gegen sonstige näher bezeichnete einzelne Viruskrankheiten"
"G92.9","Sonstige und nicht näher bezeichnete toxische Enzephalopathie"
"H35.39","Degeneration der Makula und des hinteren Poles, nicht näher bezeichnet"
"I77.80","Penetrierendes Aortenulkus [PAU]"
"I77.88","Sonstige näher bezeichnete Krankheiten der Arterien und Arteriolen"
"K65.00","Spontane bakterielle Peritonitis [SBP] (akut)"
"S50.86","Sonstige oberflächliche Verletzungen des Unterarmes: Subkutanes (geschlossenes) Décollement"
"S80.86","Sonstige oberflächliche Verletzungen des Unterschenkels: Subkutanes (geschlossenes) Décollement"
"U09.9","Post-COVID-19-Zustand, nicht näher bezeichnet"
"U10.9","Multisystemisches Entzündungssyndrom in Verbindung mit COVID-19, nicht näher bezeichnet"
"U11.9","Notwendigkeit der Impfung gegen COVID-19, nicht näher bezeichnet"
"Z26.9","Notwendigkeit der Impfung gegen nicht näher bezeichnete Infektionskrankheit"
"U12.9","Unerwünschte Nebenwirkungen bei der Anwendung von COVID-19-Impfstoffen, nicht näher bezeichnet"
"U99.3","Nicht belegte Schlüsselnummer U99.3!"
